,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
1303,29.0,109,21.0,93.0,partly cloudy,1018.98,9,Winter,7.5,inland,Cloudy
8716,16.0,109,27.0,102.0,overcast,1007.3,1,Winter,11.5,inland,Cloudy
9707,51.0,109,17.0,98.0,overcast,994.03,8,Spring,5.5,coastal,Rainy
2812,16.0,109,39.0,87.0,partly cloudy,1011.38,11,Spring,2.0,inland,Rainy
12566,4.0,109,16.0,93.0,overcast,988.15,12,Winter,3.5,inland,Snowy
8828,-8.0,109,7.0,89.0,partly cloudy,981.01,5,Winter,6.5,inland,Snowy
2765,64.0,109,13.5,90.0,clear,1019.1,2,Autumn,2.5,mountain,Sunny
8802,45.0,109,13.5,104.0,overcast,1010.23,0,Winter,4.0,coastal,Cloudy
9901,49.0,109,23.5,100.0,overcast,1003.42,8,Winter,5.5,coastal,Cloudy
7709,9.0,109,8.0,101.0,overcast,1003.91,11,Spring,8.0,inland,Cloudy
1498,64.0,109,35.5,95.0,partly cloudy,1003.19,12,Autumn,4.5,mountain,Cloudy
2381,16.0,109,19.0,106.0,overcast,1009.16,10,Summer,1.5,inland,Rainy
6234,23.0,109,12.5,81.0,partly cloudy,1010.9,5,Spring,3.0,coastal,Cloudy
8431,20.0,109,18.5,108.0,partly cloudy,1022.93,13,Autumn,3.0,coastal,Sunny
1456,60.0,109,10.0,105.0,partly cloudy,1017.33,10,Autumn,6.5,mountain,Sunny
11347,-11.0,109,31.5,95.0,overcast,994.98,14,Winter,1.0,mountain,Snowy
10507,80.0,109,8.0,93.0,clear,1029.19,7,Summer,3.0,mountain,Sunny
3885,52.0,109,22.5,89.0,overcast,1013.4,9,Summer,2.0,mountain,Cloudy
2868,13.0,109,45.0,73.0,overcast,992.31,2,Autumn,3.0,mountain,Rainy
7554,31.0,109,18.5,82.0,partly cloudy,1014.3,1,Winter,1.5,coastal,Cloudy
6841,62.0,109,22.0,102.0,partly cloudy,990.28,9,Winter,3.5,coastal,Rainy
1204,57.0,109,13.5,109.0,overcast,999.4,4,Summer,4.0,inland,Rainy
11904,60.0,109,9.0,101.0,partly cloudy,1013.72,11,Autumn,5.0,mountain,Cloudy
11900,14.0,109,12.0,88.0,overcast,1009.43,1,Summer,8.5,mountain,Cloudy
1573,25.0,109,21.0,80.0,partly cloudy,1014.22,0,Autumn,8.0,inland,Cloudy
3194,39.0,109,17.0,95.0,partly cloudy,1019.88,3,Summer,7.5,inland,Cloudy
9245,27.0,109,8.0,104.0,clear,1019.52,0,Summer,12.0,coastal,Sunny
9128,9.0,109,8.5,84.0,overcast,993.99,13,Winter,4.5,inland,Snowy
3167,44.0,109,45.5,107.0,overcast,1005.0,14,Autumn,1.0,mountain,Rainy
379,37.0,109,22.0,94.0,overcast,1019.37,0,Autumn,1.5,mountain,Rainy
7362,25.0,109,16.5,89.0,clear,1024.87,9,Spring,10.5,coastal,Sunny
472,23.0,109,0.0,91.0,clear,1029.8,4,Spring,7.0,coastal,Sunny
7040,54.0,109,13.5,83.0,partly cloudy,997.96,10,Spring,2.0,mountain,Rainy
3416,37.0,109,21.0,94.0,partly cloudy,994.49,11,Spring,3.5,mountain,Rainy
4520,33.0,109,27.5,75.0,overcast,1016.08,3,Autumn,4.0,coastal,Cloudy
7514,-6.0,109,27.5,100.0,overcast,996.27,5,Winter,2.0,mountain,Snowy
9644,3.0,109,4.5,85.0,partly cloudy,980.54,8,Winter,2.0,inland,Snowy
5683,16.0,109,38.0,98.0,partly cloudy,1019.21,1,Winter,1.5,mountain,Rainy
12672,61.0,109,32.0,93.0,partly cloudy,990.26,7,Autumn,1.0,inland,Rainy
8322,-8.0,109,6.5,80.0,overcast,990.07,14,Winter,2.0,mountain,Snowy
2001,5.0,109,32.0,71.0,overcast,990.96,7,Winter,2.0,inland,Snowy
12364,44.0,109,23.0,83.0,overcast,1018.72,2,Spring,3.5,mountain,Cloudy
9882,17.0,108,16.0,80.0,partly cloudy,1028.75,8,Spring,2.5,mountain,Sunny
9232,40.0,108,13.0,81.0,clear,1010.74,11,Summer,12.5,coastal,Sunny
2004,65.0,108,24.5,101.0,overcast,1004.05,10,Spring,2.5,mountain,Rainy
6596,-8.0,108,36.5,80.0,overcast,986.2,12,Winter,3.5,mountain,Snowy
7281,1.0,108,13.0,84.0,overcast,991.22,7,Winter,6.0,inland,Snowy
9967,17.0,108,38.0,94.0,overcast,1018.43,2,Summer,2.5,coastal,Rainy
5825,15.0,108,13.5,78.0,partly cloudy,1027.5,1,Autumn,3.5,inland,Sunny
11143,47.0,108,2.5,106.0,overcast,1010.6,10,Winter,3.5,mountain,Cloudy
11158,11.0,108,24.5,78.0,overcast,1015.59,8,Winter,8.5,mountain,Cloudy
2495,-1.0,108,22.0,106.0,overcast,996.16,12,Winter,2.5,mountain,Snowy
